Date,Team.1,Team.2,FT
12/28/2003,Everton,Birmingham,Jan-00
12/28/2003,Man City,Liverpool,2-Feb
12/28/2003,Middlesbrough,Man United,0-1
12/28/2003,Newcastle,Blackburn,0-1
12/28/2003,Tottenham,Charlton,0-1
12/28/2003,Wolves,Leeds,1-Mar
12/29/2003,Southampton,Arsenal,0-1
1/6/2004,Aston Villa,Portsmouth,1-Feb
1/7/2004,Bolton,Man United,2-Jan
1/7/2004,Chelsea,Liverpool,0-1
1/7/2004,Everton,Arsenal,1-Jan
1/7/2004,Man City,Charlton,1-Jan
1/7/2004,Middlesbrough,Fulham,1-Feb
1/7/2004,Newcastle,Leeds,Jan-00
1/7/2004,Southampton,Leicester,0-0
1/7/2004,Tottenham,Birmingham,1-Apr
1/7/2004,Wolves,Blackburn,2-Feb
1/10/2004,Arsenal,Middlesbrough,1-Apr
1/10/2004,Birmingham,Southampton,1-Feb
1/10/2004,Blackburn,Bolton,4-Mar
1/10/2004,Charlton,Wolves,Feb-00
1/10/2004,Fulham,Everton,1-Feb
1/10/2004,Leeds,Tottenham,0-1
1/10/2004,Liverpool,Aston Villa,Jan-00
1/10/2004,Portsmouth,Man City,2-Apr
1/11/2004,Leicester,Chelsea,0-4
1/11/2004,Man United,Newcastle,0-0
1/17/2004,Bolton,Portsmouth,Jan-00
1/17/2004,Everton,Charlton,0-1
1/17/2004,Man City,Blackburn,1-Jan
1/17/2004,Middlesbrough,Leicester,3-Mar
1/17/2004,Southampton,Leeds,1-Feb
1/17/2004,Tottenham,Liverpool,1-Feb
1/17/2004,Wolves,Man United,Jan-00
1/18/2004,Aston Villa,Arsenal,0-2
1/18/2004,Chelsea,Birmingham,0-0
1/19/2004,Newcastle,Fulham,1-Mar
1/21/2004,Wolves,Liverpool,1-Jan
1/31/2004,Birmingham,Newcastle,1-Jan
1/31/2004,Charlton,Bolton,2-Jan
1/31/2004,Fulham,Tottenham,1-Feb
1/31/2004,Leeds,Middlesbrough,0-3
1/31/2004,Leicester,Aston Villa,0-5
1/31/2004,Liverpool,Everton,0-0
1/31/2004,Man United,Southampton,2-Mar
1/31/2004,Portsmouth,Wolves,0-0
2/1/2004,Arsenal,Man City,1-Feb
2/1/2004,Blackburn,Chelsea,3-Feb
2/7/2004,Aston Villa,Leeds,Feb-00
2/7/2004,Bolton,Liverpool,2-Feb
2/7/2004,Everton,Man United,4-Mar
2/7/2004,Middlesbrough,Blackburn,0-1
2/7/2004,Newcastle,Leicester,1-Mar
2/7/2004,Southampton,Fulham,0-0
2/7/2004,Tottenham,Portsmouth,3-Apr
2/7/2004,Wolves,Arsenal,3-Jan
2/8/2004,Chelsea,Charlton,Jan-00
2/8/2004,Man City,Birmingham,0-0
2/10/2004,Arsenal,Southampton,Feb-00
2/10/2004,Leeds,Wolves,1-Apr
2/10/2004,Leicester,Bolton,1-Jan
2/11/2004,Birmingham,Everton,Mar-00
2/11/2004,Blackburn,Newcastle,1-Jan
2/11/2004,Charlton,Tottenham,4-Feb
2/11/2004,Fulham,Aston Villa,2-Jan
2/11/2004,Liverpool,Man City,1-Feb
2/11/2004,Man United,Middlesbrough,3-Feb
2/11/2004,Portsmouth,Chelsea,0-2
2/21/2004,Bolton,Man City,3-Jan
2/21/2004,Charlton,Blackburn,2-Mar
2/21/2004,Chelsea,Arsenal,2-Jan
2/21/2004,Man United,Leeds,1-Jan
2/21/2004,Newcastle,Middlesbrough,1-Feb
2/21/2004,Southampton,Everton,3-Mar
2/21/2004,Wolves,Fulham,1-Feb
2/22/2004,Aston Villa,Birmingham,2-Feb
2/22/2004,Tottenham,Leicester,4-Apr
2/28/2004,Arsenal,Charlton,1-Feb
2/28/2004,Blackburn,Southampton,1-Jan
2/28/2004,Everton,Aston Villa,Feb-00
2/28/2004,Fulham,Man United,1-Jan
2/28/2004,Leicester,Wolves,0-0
2/28/2004,Man City,Chelsea,0-1
2/29/2004,Leeds,Liverpool,2-Feb
2/29/2004,Portsmouth,Newcastle,1-Jan
3/3/2004,Birmingham,Middlesbrough,1-Mar
3/6/2004,Birmingham,Bolton,Feb-00
3/9/2004,Middlesbrough,Tottenham,Jan-00
3/13/2004,Birmingham,Leicester,0-1
3/13/2004,Blackburn,Arsenal,0-2
3/13/2004,Bolton,Chelsea,0-2
3/13/2004,Charlton,Middlesbrough,Jan-00
3/13/2004,Everton,Portsmouth,Jan-00
3/13/2004,Fulham,Leeds,Feb-00
3/14/2004,Man City,Man United,1-Apr
3/14/2004,Southampton,Liverpool,Feb-00
3/14/2004,Tottenham,Newcastle,Jan-00
3/14/2004,Wolves,Aston Villa,0-4
3/17/2004,Liverpool,Portsmouth,Mar-00
3/20/2004,Arsenal,Bolton,1-Feb
3/20/2004,Aston Villa,Blackburn,0-2
3/20/2004,Chelsea,Fulham,1-Feb
3/20/2004,Leicester,Everton,1-Jan
3/20/2004,Liverpool,Wolves,Jan-00
3/20/2004,Man United,Tottenham,Mar-00
3/20/2004,Middlesbrough,Birmingham,3-May
3/20/2004,Newcastle,Charlton,1-Mar
3/21/2004,Portsmouth,Southampton,Jan-00
3/22/2004,Leeds,Man City,1-Feb
3/27/2004,Birmingham,Leeds,1-Apr
3/27/2004,Blackburn,Portsmouth,2-Jan
3/27/2004,Charlton,Aston Villa,2-Jan
3/27/2004,Chelsea,Wolves,2-May
3/27/2004,Everton,Middlesbrough,1-Jan
3/27/2004,Man City,Fulham,0-0
3/27/2004,Southampton,Tottenham,Jan-00
3/28/2004,Arsenal,Man United,1-Jan
3/28/2004,Bolton,Newcastle,Jan-00
3/28/2004,Leicester,Liverpool,0-0
4/3/2004,Fulham,Birmingham,0-0
4/3/2004,Middlesbrough,Bolton,Feb-00
4/3/2004,Newcastle,Everton,2-Apr
4/3/2004,Tottenham,Chelsea,0-1
4/3/2004,Wolves,Southampton,4-Jan
4/4/2004,Aston Villa,Man City,1-Jan
4/4/2004,Liverpool,Blackburn,Apr-00
4/5/2004,Leeds,Leicester,2-Mar
4/9/2004,Arsenal,Liverpool,2-Apr
4/9/2004,Everton,Tottenham,1-Mar
4/10/2004,Birmingham,Man United,2-Jan
4/10/2004,Blackburn,Leeds,2-Jan
4/10/2004,Bolton,Aston Villa,2-Feb
4/10/2004,Charlton,Portsmouth,1-Jan
4/10/2004,Chelsea,Middlesbrough,0-0
4/10/2004,Leicester,Fulham,0-2
4/10/2004,Man City,Wolves,3-Mar
4/11/2004,Newcastle,Arsenal,0-0
4/12/2004,Aston Villa,Chelsea,2-Mar
4/12/2004,Fulham,Blackburn,4-Mar
4/12/2004,Liverpool,Charlton,0-1
4/12/2004,Middlesbrough,Southampton,1-Mar
4/12/2004,Portsmouth,Birmingham,1-Mar
4/12/2004,Tottenham,Man City,1-Jan
4/12/2004,Wolves,Bolton,2-Jan
4/13/2004,Leeds,Everton,1-Jan
4/13/2004,Man United,Leicester,Jan-00
4/16/2004,Arsenal,Leeds,May-00
4/17/2004,Blackburn,Leicester,Jan-00
4/17/2004,Bolton,Tottenham,Feb-00
4/17/2004,Charlton,Birmingham,1-Jan
4/17/2004,Chelsea,Everton,0-0
4/17/2004,Liverpool,Fulham,0-0
4/17/2004,Man City,Southampton,3-Jan
4/17/2004,Portsmouth,Man United,Jan-00
4/17/2004,Wolves,Middlesbrough,Feb-00
4/18/2004,Aston Villa,Newcastle,0-0
4/20/2004,Man United,Charlton,Feb-00
4/24/2004,Everton,Blackburn,0-1
4/24/2004,Fulham,Charlton,Feb-00
4/24/2004,Leicester,Man City,1-Jan
4/24/2004,Man United,Liverpool,0-1
4/24/2004,Middlesbrough,Aston Villa,2-Jan
4/24/2004,Southampton,Bolton,2-Jan
4/25/2004,Birmingham,Wolves,2-Feb
4/25/2004,Leeds,Portsmouth,2-Jan
4/25/2004,Newcastle,Chelsea,1-Feb
4/25/2004,Tottenham,Arsenal,2-Feb
5/1/2004,Arsenal,Birmingham,0-0
5/1/2004,Blackburn,Man United,Jan-00
5/1/2004,Charlton,Leicester,2-Feb
5/1/2004,Chelsea,Southampton,Apr-00
5/1/2004,Man City,Newcastle,Jan-00
5/1/2004,Portsmouth,Fulham,1-Jan
5/1/2004,Wolves,Everton,1-Feb
5/2/2004,Aston Villa,Tottenham,Jan-00
5/2/2004,Bolton,Leeds,1-Apr
5/2/2004,Liverpool,Middlesbrough,Feb-00
5/4/2004,Portsmouth,Arsenal,1-Jan
5/8/2004,Birmingham,Liverpool,0-3
5/8/2004,Everton,Bolton,2-Jan
5/8/2004,Leeds,Charlton,3-Mar
5/8/2004,Leicester,Portsmouth,1-Mar
5/8/2004,Man United,Chelsea,1-Jan
5/8/2004,Middlesbrough,Man City,1-Feb
5/8/2004,Southampton,Aston Villa,1-Jan
5/8/2004,Tottenham,Blackburn,Jan-00
5/9/2004,Fulham,Arsenal,0-1
5/9/2004,Newcastle,Wolves,1-Jan
5/12/2004,Southampton,Newcastle,3-Mar
5/15/2004,Arsenal,Leicester,1-Feb
5/15/2004,Aston Villa,Man United,0-2
5/15/2004,Blackburn,Birmingham,1-Jan
5/15/2004,Bolton,Fulham,0-2
5/15/2004,Charlton,Southampton,1-Feb
5/15/2004,Chelsea,Leeds,Jan-00
5/15/2004,Liverpool,Newcastle,1-Jan
5/15/2004,Man City,Everton,1-May
5/15/2004,Portsmouth,Middlesbrough,1-May
5/15/2004,Wolves,Tottenham,0-2
8/14/2004,Aston Villa,Southampton,Feb-00
8/14/2004,Blackburn,West Brom,1-Jan
8/14/2004,Bolton,Charlton,1-Apr
8/14/2004,Man City,Fulham,1-Jan
8/14/2004,Middlesbrough,Newcastle,2-Feb
8/14/2004,Norwich,Crystal Palace,1-Jan
8/14/2004,Portsmouth,Birmingham,1-Jan
8/14/2004,Tottenham,Liverpool,1-Jan
8/15/2004,Chelsea,Man United,Jan-00
8/15/2004,Everton,Arsenal,4-Jan
8/21/2004,Birmingham,Chelsea,0-1
8/21/2004,Charlton,Portsmouth,1-Feb
8/21/2004,Crystal Palace,Everton,3-Jan
8/21/2004,Fulham,Bolton,Feb-00
8/21/2004,Liverpool,Man City,1-Feb
8/21/2004,Man United,Norwich,1-Feb
8/21/2004,Newcastle,Tottenham,0-1
8/21/2004,Southampton,Blackburn,2-Mar
8/22/2004,Arsenal,Middlesbrough,3-May
8/22/2004,West Brom,Aston Villa,1-Jan
8/24/2004,Birmingham,Man City,Jan-00
8/24/2004,Crystal Palace,Chelsea,0-2
8/25/2004,Arsenal,Blackburn,Mar-00
8/25/2004,Charlton,Aston Villa,Mar-00
8/25/2004,Fulham,Middlesbrough,0-2
8/25/2004,Newcastle,Norwich,2-Feb
8/25/2004,Southampton,Bolton,2-Jan
8/25/2004,West Brom,Tottenham,1-Jan
8/28/2004,Aston Villa,Newcastle,2-Apr
8/28/2004,Blackburn,Man United,1-Jan
8/28/2004,Chelsea,Southampton,1-Feb
8/28/2004,Everton,West Brom,1-Feb
8/28/2004,Man City,Charlton,Apr-00
8/28/2004,Middlesbrough,Crystal Palace,1-Feb
8/28/2004,Norwich,Arsenal,4-Jan
8/28/2004,Tottenham,Birmingham,Jan-00
8/29/2004,Bolton,Liverpool,Jan-00
8/30/2004,Man United,Everton,0-0
8/30/2004,Portsmouth,Fulham,3-Apr
9/11/2004,Aston Villa,Chelsea,0-0
9/11/2004,Bolton,Man United,2-Feb
9/11/2004,Fulham,Arsenal,0-3
9/11/2004,Liverpool,West Brom,Mar-00
9/11/2004,Man City,Everton,0-1
9/11/2004,Middlesbrough,Birmingham,1-Feb
9/11/2004,Newcastle,Blackburn,Mar-00
9/11/2004,Portsmouth,Crystal Palace,1-Mar
9/12/2004,Tottenham,Norwich,0-0
9/13/2004,Charlton,Southampton,0-0
9/18/2004,Arsenal,Bolton,2-Feb
9/18/2004,Birmingham,Charlton,1-Jan
9/18/2004,Blackburn,Portsmouth,Jan-00
9/18/2004,Crystal Palace,Man City,2-Jan
9/18/2004,Norwich,Aston Villa,0-0
9/18/2004,West Brom,Fulham,1-Jan
9/19/2004,Chelsea,Tottenham,0-0
9/19/2004,Everton,Middlesbrough,Jan-00
9/19/2004,Southampton,Newcastle,2-Jan
9/20/2004,Man United,Liverpool,1-Feb
9/25/2004,Aston Villa,Crystal Palace,1-Jan
9/25/2004,Bolton,Birmingham,1-Jan
9/25/2004,Fulham,Southampton,Jan-00
9/25/2004,Liverpool,Norwich,Mar-00
9/25/2004,Man City,Arsenal,0-1
9/25/2004,Middlesbrough,Chelsea,0-1
9/25/2004,Newcastle,West Brom,1-Mar
9/25/2004,Tottenham,Man United,0-1
9/26/2004,Portsmouth,Everton,0-1
9/27/2004,Charlton,Blackburn,Jan-00
10/2/2004,Arsenal,Charlton,Apr-00
10/2/2004,Blackburn,Aston Villa,2-Feb
10/2/2004,Everton,Tottenham,0-1
10/2/2004,Norwich,Portsmouth,2-Feb
10/2/2004,Southampton,Man City,0-0
10/2/2004,West Brom,Bolton,1-Feb
10/3/2004,Birmingham,Newcastle,2-Feb
10/3/2004,Chelsea,Liverpool,Jan-00
10/3/2004,Man United,Middlesbrough,1-Jan
10/4/2004,Crystal Palace,Fulham,Feb-00
10/16/2004,Arsenal,Aston Villa,1-Mar
10/16/2004,Birmingham,Man United,0-0
10/16/2004,Blackburn,Middlesbrough,0-4
10/16/2004,Bolton,Crystal Palace,Jan-00
10/16/2004,Everton,Southampton,Jan-00
10/16/2004,Fulham,Liverpool,4-Feb
10/16/2004,Man City,Chelsea,Jan-00
10/16/2004,West Brom,Norwich,0-0
10/17/2004,Charlton,Newcastle,1-Jan
10/18/2004,Portsmouth,Tottenham,Jan-00
10/23/2004,Aston Villa,Fulham,Feb-00
10/23/2004,Chelsea,Blackburn,Apr-00
10/23/2004,Crystal Palace,West Brom,Mar-00
10/23/2004,Liverpool,Charlton,Feb-00
10/23/2004,Norwich,Everton,3-Feb
10/23/2004,Tottenham,Bolton,2-Jan
10/24/2004,Man United,Arsenal,Feb-00
10/24/2004,Middlesbrough,Portsmouth,1-Jan
10/24/2004,Newcastle,Man City,3-Apr
10/24/2004,Southampton,Birmingham,0-0
10/30/2004,Arsenal,Southampton,2-Feb
10/30/2004,Birmingham,Crystal Palace,0-1
10/30/2004,Blackburn,Liverpool,2-Feb
10/30/2004,Charlton,Middlesbrough,2-Jan
10/30/2004,Everton,Aston Villa,1-Jan
10/30/2004,Fulham,Tottenham,Feb-00
10/30/2004,Portsmouth,Man United,Feb-00
10/30/2004,West Brom,Chelsea,4-Jan
10/31/2004,Bolton,Newcastle,1-Feb
11/1/2004,Man City,Norwich,1-Jan
11/6/2004,Aston Villa,Portsmouth,Mar-00
11/6/2004,Chelsea,Everton,Jan-00
11/6/2004,Crystal Palace,Arsenal,1-Jan
11/6/2004,Liverpool,Birmingham,0-1
11/6/2004,Norwich,Blackburn,1-Jan
11/6/2004,Southampton,West Brom,2-Feb
11/6/2004,Tottenham,Charlton,3-Feb
11/7/2004,Man United,Man City,0-0
11/7/2004,Middlesbrough,Bolton,1-Jan
11/7/2004,Newcastle,Fulham,4-Jan
11/13/2004,Birmingham,Everton,0-1
11/13/2004,Bolton,Aston Villa,2-Jan
11/13/2004,Charlton,Norwich,Apr-00
11/13/2004,Fulham,Chelsea,4-Jan
11/13/2004,Liverpool,Crystal Palace,2-Mar
11/13/2004,Man City,Blackburn,1-Jan
11/13/2004,Southampton,Portsmouth,1-Feb
11/13/2004,Tottenham,Arsenal,5-Apr
11/14/2004,Newcastle,Man United,3-Jan
11/14/2004,West Brom,Middlesbrough,2-Jan
11/20/2004,Arsenal,West Brom,1-Jan
11/20/2004,Chelsea,Bolton,2-Feb
11/20/2004,Crystal Palace,Newcastle,0-2
11/20/2004,Everton,Fulham,Jan-00
11/20/2004,Man United,Charlton,Feb-00
11/20/2004,Middlesbrough,Liverpool,Feb-00
11/20/2004,Norwich,Southampton,1-Feb
11/20/2004,Portsmouth,Man City,3-Jan
11/21/2004,Blackburn,Birmingham,3-Mar
11/22/2004,Aston Villa,Tottenham,Jan-00
11/27/2004,Birmingham,Norwich,1-Jan
11/27/2004,Bolton,Portsmouth,0-1
11/27/2004,Charlton,Chelsea,0-4
11/27/2004,Fulham,Blackburn,0-2
11/27/2004,Man City,Aston Villa,Feb-00
11/27/2004,Southampton,Crystal Palace,2-Feb
11/27/2004,West Brom,Man United,0-3
11/28/2004,Liverpool,Arsenal,1-Feb
11/28/2004,Newcastle,Everton,1-Jan
11/28/2004,Tottenham,Middlesbrough,Feb-00
12/4/2004,Arsenal,Birmingham,Mar-00
12/4/2004,Aston Villa,Liverpool,1-Jan
12/4/2004,Blackburn,Tottenham,0-1
12/4/2004,Chelsea,Newcastle,Apr-00
12/4/2004,Everton,Bolton,2-Mar
12/4/2004,Man United,Southampton,Mar-00
12/4/2004,Norwich,Fulham,0-1
12/4/2004,Portsmouth,West Brom,2-Mar
12/5/2004,Crystal Palace,Charlton,0-1
12/6/2004,Middlesbrough,Man City,2-Mar
12/11/2004,Crystal Palace,Blackburn,0-0
12/11/2004,Everton,Liverpool,Jan-00
12/11/2004,Man City,Tottenham,0-1
12/11/2004,Newcastle,Portsmouth,1-Jan
12/11/2004,Norwich,Bolton,2-Mar
12/11/2004,Southampton,Middlesbrough,2-Feb
12/11/2004,West Brom,Charlton,0-1
12/12/2004,Arsenal,Chelsea,2-Feb
12/12/2004,Aston Villa,Birmingham,2-Jan
12/13/2004,Fulham,Man United,1-Jan
12/14/2004,Liverpool,Portsmouth,1-Jan
12/18/2004,Birmingham,West Brom,Apr-00
12/18/2004,Blackburn,Everton,0-0
12/18/2004,Bolton,Man City,0-1
12/18/2004,Chelsea,Norwich,Apr-00
12/18/2004,Man United,Crystal Palace,2-May
12/18/2004,Middlesbrough,Aston Villa,Mar-00
12/18/2004,Tottenham,Southampton,1-May
12/19/2004,Liverpool,Newcastle,1-Mar
12/19/2004,Portsmouth,Arsenal,0-1
12/20/2004,Charlton,Fulham,1-Feb
12/26/2004,Arsenal,Fulham,Feb-00
12/26/2004,Birmingham,Middlesbrough,Feb-00
12/26/2004,Blackburn,Newcastle,2-Feb
12/26/2004,Chelsea,Aston Villa,Jan-00
12/26/2004,Crystal Palace,Portsmouth,0-1
12/26/2004,Everton,Man City,1-Feb
12/26/2004,Man United,Bolton,Feb-00
12/26/2004,Norwich,Tottenham,0-2
12/26/2004,Southampton,Charlton,0-0
12/26/2004,West Brom,Liverpool,0-5
12/28/2004,Aston Villa,Man United,0-1
12/28/2004,Bolton,Blackburn,0-1
12/28/2004,Charlton,Everton,Feb-00
12/28/2004,Fulham,Birmingham,3-Feb
12/28/2004,Liverpool,Southampton,Jan-00
12/28/2004,Man City,West Brom,1-Jan
12/28/2004,Middlesbrough,Norwich,Feb-00
12/28/2004,Portsmouth,Chelsea,0-2
12/28/2004,Tottenham,Crystal Palace,1-Jan
12/29/2004,Newcastle,Arsenal,0-1
1/1/2005,Aston Villa,Blackburn,Jan-00
1/1/2005,Bolton,West Brom,1-Jan
1/1/2005,Charlton,Arsenal,3-Jan
1/1/2005,Fulham,Crystal Palace,1-Mar
1/1/2005,Liverpool,Chelsea,0-1
1/1/2005,Man City,Southampton,1-Feb
1/1/2005,Middlesbrough,Man United,0-2
1/1/2005,Newcastle,Birmingham,1-Feb
1/1/2005,Portsmouth,Norwich,1-Jan
1/1/2005,Tottenham,Everton,2-May
1/3/2005,Blackburn,Charlton,Jan-00
1/3/2005,Crystal Palace,Aston Villa,Feb-00
1/3/2005,Norwich,Liverpool,2-Jan
1/3/2005,West Brom,Newcastle,0-0
1/4/2005,Arsenal,Man City,1-Jan
1/4/2005,Birmingham,Bolton,2-Jan
1/4/2005,Chelsea,Middlesbrough,Feb-00
1/4/2005,Everton,Portsmouth,1-Feb
1/4/2005,Man United,Tottenham,0-0
1/5/2005,Southampton,Fulham,3-Mar
1/15/2005,Aston Villa,Norwich,Mar-00
1/15/2005,Bolton,Arsenal,Jan-00
1/15/2005,Charlton,Birmingham,1-Mar
1/15/2005,Liverpool,Man United,0-1
1/15/2005,Man City,Crystal Palace,1-Mar
1/15/2005,Newcastle,Southampton,1-Feb
1/15/2005,Portsmouth,Blackburn,0-1
1/15/2005,Tottenham,Chelsea,0-2
1/16/2005,Fulham,West Brom,Jan-00
1/16/2005,Middlesbrough,Everton,1-Jan
1/22/2005,Birmingham,Fulham,2-Jan
1/22/2005,Chelsea,Portsmouth,Mar-00
1/22/2005,Crystal Palace,Tottenham,Mar-00
1/22/2005,Everton,Charlton,0-1
1/22/2005,Man United,Aston Villa,1-Mar
1/22/2005,Norwich,Middlesbrough,4-Apr
1/22/2005,Southampton,Liverpool,Feb-00
1/22/2005,West Brom,Man City,Feb-00
1/23/2005,Arsenal,Newcastle,Jan-00
1/24/2005,Blackburn,Bolton,0-1
2/1/2005,Arsenal,Man United,4-Feb
2/1/2005,Bolton,Tottenham,1-Mar
2/1/2005,Charlton,Liverpool,2-Jan
2/1/2005,Portsmouth,Middlesbrough,1-Feb
2/1/2005,West Brom,Crystal Palace,2-Feb
2/2/2005,Birmingham,Southampton,1-Feb
2/2/2005,Blackburn,Chelsea,0-1
2/2/2005,Everton,Norwich,Jan-00
2/2/2005,Fulham,Aston Villa,1-Jan
2/2/2005,Man City,Newcastle,1-Jan
2/5/2005,Aston Villa,Arsenal,3-Jan
2/5/2005,Crystal Palace,Bolton,0-1
2/5/2005,Liverpool,Fulham,1-Mar
2/5/2005,Man United,Birmingham,Feb-00
2/5/2005,Middlesbrough,Blackburn,Jan-00
2/5/2005,Newcastle,Charlton,1-Jan
2/5/2005,Norwich,West Brom,2-Mar
2/5/2005,Tottenham,Portsmouth,1-Mar
2/6/2005,Chelsea,Man City,0-0
2/6/2005,Southampton,Everton,2-Feb
2/12/2005,Birmingham,Liverpool,Feb-00
2/12/2005,Blackburn,Norwich,Mar-00
2/12/2005,Bolton,Middlesbrough,0-0
2/12/2005,Everton,Chelsea,0-1
2/12/2005,Portsmouth,Aston Villa,2-Jan
2/13/2005,Man City,Man United,0-2
2/14/2005,Arsenal,Crystal Palace,1-May
2/22/2005,West Brom,Southampton,0-0
2/26/2005,Aston Villa,Everton,3-Jan
2/26/2005,Crystal Palace,Birmingham,Feb-00
2/26/2005,Man United,Portsmouth,1-Feb
2/26/2005,Southampton,Arsenal,1-Jan
2/26/2005,Tottenham,Fulham,Feb-00
2/27/2005,Middlesbrough,Charlton,2-Feb
2/27/2005,Newcastle,Bolton,1-Feb
2/28/2005,Norwich,Man City,3-Feb
3/5/2005,Arsenal,Portsmouth,Mar-00
3/5/2005,Aston Villa,Middlesbrough,Feb-00
3/5/2005,Crystal Palace,Man United,0-0
3/5/2005,Fulham,Charlton,0-0
3/5/2005,Newcastle,Liverpool,Jan-00
3/5/2005,Norwich,Chelsea,3-Jan
3/5/2005,Southampton,Tottenham,Jan-00
3/6/2005,Everton,Blackburn,0-1
3/6/2005,West Brom,Birmingham,Feb-00
3/7/2005,Man City,Bolton,0-1
3/15/2005,Chelsea,West Brom,Jan-00
3/16/2005,Charlton,Tottenham,Feb-00
3/16/2005,Liverpool,Blackburn,0-0
3/19/2005,Blackburn,Arsenal,0-1
3/19/2005,Bolton,Norwich,Jan-00
3/19/2005,Charlton,West Brom,4-Jan
3/19/2005,Chelsea,Crystal Palace,1-Apr
3/19/2005,Man United,Fulham,Jan-00
3/19/2005,Portsmouth,Newcastle,1-Jan
3/19/2005,Tottenham,Man City,1-Feb
3/20/2005,Birmingham,Aston Villa,Feb-00
3/20/2005,Liverpool,Everton,1-Feb
3/20/2005,Middlesbrough,Southampton,3-Jan
4/2/2005,Arsenal,Norwich,1-Apr
4/2/2005,Birmingham,Tottenham,1-Jan
4/2/2005,Charlton,Man City,2-Feb
4/2/2005,Crystal Palace,Middlesbrough,0-1
4/2/2005,Liverpool,Bolton,Jan-00
4/2/2005,Man United,Blackburn,0-0
4/2/2005,Newcastle,Aston Villa,0-3
4/2/2005,Southampton,Chelsea,3-Jan
4/3/2005,Fulham,Portsmouth,1-Mar
4/3/2005,West Brom,Everton,Jan-00
4/9/2005,Blackburn,Southampton,Mar-00
4/9/2005,Bolton,Fulham,1-Mar
4/9/2005,Chelsea,Birmingham,1-Jan
4/9/2005,Man City,Liverpool,Jan-00
4/9/2005,Middlesbrough,Arsenal,0-1
4/9/2005,Norwich,Man United,Feb-00
4/9/2005,Portsmouth,Charlton,2-Apr
4/10/2005,Aston Villa,West Brom,1-Jan
4/10/2005,Everton,Crystal Palace,Apr-00
4/10/2005,Tottenham,Newcastle,Jan-00
4/16/2005,Birmingham,Portsmouth,0-0
4/16/2005,Charlton,Bolton,2-Jan
4/16/2005,Crystal Palace,Norwich,3-Mar
4/16/2005,Fulham,Man City,1-Jan
4/16/2005,Liverpool,Tottenham,2-Feb
4/16/2005,Southampton,Aston Villa,3-Feb
4/19/2005,Bolton,Southampton,1-Jan
4/19/2005,Middlesbrough,Fulham,1-Jan
4/20/2005,Aston Villa,Charlton,0-0
4/20/2005,Blackburn,Crystal Palace,Jan-00
4/20/2005,Chelsea,Arsenal,0-0
4/20/2005,Everton,Man United,Jan-00
4/20/2005,Man City,Birmingham,Mar-00
4/20/2005,Norwich,Newcastle,1-Feb
4/20/2005,Portsmouth,Liverpool,2-Jan
4/20/2005,Tottenham,West Brom,1-Jan
4/23/2005,Aston Villa,Bolton,1-Jan
4/23/2005,Blackburn,Man City,0-0
4/23/2005,Chelsea,Fulham,1-Mar
4/23/2005,Crystal Palace,Liverpool,Jan-00
4/23/2005,Everton,Birmingham,1-Jan
4/23/2005,Middlesbrough,West Brom,Apr-00
4/23/2005,Norwich,Charlton,Jan-00
4/24/2005,Man United,Newcastle,1-Feb
4/24/2005,Portsmouth,Southampton,1-Apr
4/25/2005,Arsenal,Tottenham,Jan-00
4/26/2005,West Brom,Blackburn,1-Jan
4/27/2005,Newcastle,Middlesbrough,0-0
4/30/2005,Birmingham,Blackburn,1-Feb
4/30/2005,Bolton,Chelsea,0-2
4/30/2005,Fulham,Everton,Feb-00
4/30/2005,Liverpool,Middlesbrough,1-Jan
4/30/2005,Man City,Portsmouth,Feb-00
4/30/2005,Newcastle,Crystal Palace,0-0
4/30/2005,Southampton,Norwich,3-Apr
5/1/2005,Charlton,Man United,0-4
5/1/2005,Tottenham,Aston Villa,1-May
5/2/2005,West Brom,Arsenal,0-2
5/4/2005,Fulham,Newcastle,3-Jan
5/7/2005,Aston Villa,Man City,2-Jan
5/7/2005,Blackburn,Fulham,3-Jan
5/7/2005,Chelsea,Charlton,Jan-00
5/7/2005,Crystal Palace,Southampton,2-Feb
5/7/2005,Everton,Newcastle,Feb-00
5/7/2005,Man United,West Brom,1-Jan
5/7/2005,Middlesbrough,Tottenham,Jan-00
5/7/2005,Norwich,Birmingham,Jan-00
5/7/2005,Portsmouth,Bolton,1-Jan
5/8/2005,Arsenal,Liverpool,1-Mar
5/10/2005,Man United,Chelsea,3-Jan
5/11/2005,Arsenal,Everton,Jul-00
5/15/2005,Birmingham,Arsenal,1-Feb
5/15/2005,Bolton,Everton,2-Mar
5/15/2005,Charlton,Crystal Palace,2-Feb
5/15/2005,Fulham,Norwich,Jun-00
5/15/2005,Liverpool,Aston Villa,1-Feb
5/15/2005,Man City,Middlesbrough,1-Jan
5/15/2005,Newcastle,Chelsea,1-Jan
5/15/2005,Southampton,Man United,2-Jan
5/15/2005,Tottenham,Blackburn,0-0
5/15/2005,West Brom,Portsmouth,Feb-00
8/13/2005,Aston Villa,Bolton,2-Feb
8/13/2005,Everton,Man United,0-2
8/13/2005,Fulham,Birmingham,0-0
8/13/2005,Man City,West Brom,0-0
8/13/2005,Middlesbrough,Liverpool,0-0
8/13/2005,Portsmouth,Tottenham,0-2
8/13/2005,Sunderland,Charlton,3-Jan
8/13/2005,West Ham,Blackburn,1-Mar
